trade_date,open,high,low,close,vol,hold,datetime
2023-09-15 11:15:00,5045.0,5045.0,5007.0,5013.0,22,14,20230915111500
2023-09-15 15:00:00,5005.0,5018.0,5001.0,5005.0,23,35,20230915150000
2023-09-15 23:00:00,5012.0,5012.0,4980.0,4987.0,16,48,20230915230000
2023-09-18 11:15:00,4987.0,4995.0,4980.0,4980.0,14,54,20230918111500
2023-09-18 15:00:00,4980.0,4992.0,4980.0,4992.0,5,49,20230918150000
2023-09-18 23:00:00,4992.0,5011.0,4992.0,5011.0,18,49,20230918230000
2023-09-19 11:15:00,4994.0,5004.0,4982.0,4982.0,8,52,20230919111500
2023-09-19 15:00:00,4982.0,4996.0,4982.0,4983.0,11,56,20230919150000
2023-09-19 23:00:00,4985.0,4995.0,4971.0,4994.0,26,69,20230919230000
2023-09-20 11:15:00,4994.0,5004.0,4981.0,4998.0,23,57,20230920111500
2023-09-20 15:00:00,4998.0,5017.0,4998.0,5017.0,20,44,20230920150000
2023-09-20 23:00:00,5011.0,5024.0,5011.0,5024.0,13,36,20230920230000
2023-09-21 11:15:00,5024.0,5024.0,4985.0,4985.0,4,42,20230921111500
2023-09-21 15:00:00,4980.0,5006.0,4980.0,5006.0,8,41,20230921150000
2023-09-21 23:00:00,4996.0,4997.0,4982.0,4993.0,9,39,20230921230000
2023-09-22 11:15:00,4987.0,4987.0,4966.0,4966.0,4,41,20230922111500
2023-09-22 15:00:00,4966.0,4998.0,4966.0,4998.0,3,41,20230922150000
2023-09-25 11:15:00,4983.0,4996.0,4982.0,4989.0,5,40,20230925111500
2023-09-25 15:00:00,4980.0,4980.0,4966.0,4970.0,14,47,20230925150000
2023-09-25 23:00:00,4964.0,4969.0,4949.0,4949.0,17,58,20230925230000
2023-09-26 11:15:00,4949.0,4974.0,4949.0,4971.0,6,57,20230926111500
2023-09-26 15:00:00,4971.0,4973.0,4965.0,4968.0,5,56,20230926150000
2023-09-26 23:00:00,4972.0,4998.0,4962.0,4977.0,27,43,20230926230000
2023-09-27 11:15:00,4977.0,4986.0,4977.0,4986.0,4,40,20230927111500
2023-09-27 15:00:00,4981.0,4981.0,4981.0,4981.0,1,40,20230927150000
2023-09-27 23:00:00,4992.0,4998.0,4990.0,4998.0,4,41,20230927230000
2023-09-28 15:00:00,4992.0,4998.0,4992.0,4998.0,81,122,20230928150000
2023-10-09 11:15:00,4966.0,4994.0,4953.0,4984.0,22,128,20231009111500
2023-10-09 15:00:00,4984.0,4999.0,4976.0,4985.0,9,134,20231009150000
2023-10-09 23:00:00,4995.0,5016.0,4995.0,5016.0,17,149,20231009230000
2023-10-10 11:15:00,5003.0,5036.0,5003.0,5025.0,20,154,20231010111500
2023-10-10 15:00:00,5013.0,5013.0,4970.0,4970.0,9,155,20231010150000
2023-10-10 23:00:00,4966.0,4981.0,4966.0,4981.0,5,157,20231010230000
2023-10-11 11:15:00,4981.0,5002.0,4981.0,5002.0,1,158,20231011111500
2023-10-11 15:00:00,5002.0,5002.0,4974.0,4992.0,9,160,20231011150000
2023-10-11 23:00:00,4977.0,4977.0,4956.0,4956.0,19,168,20231011230000
2023-10-12 11:15:00,4956.0,4965.0,4941.0,4950.0,10,171,20231012111500
2023-10-12 15:00:00,4950.0,4956.0,4948.0,4954.0,22,189,20231012150000
2023-10-12 23:00:00,4955.0,4955.0,4937.0,4953.0,12,197,20231012230000
2023-10-13 11:15:00,4953.0,4979.0,4946.0,4954.0,20,202,20231013111500
2023-10-13 15:00:00,4948.0,4956.0,4948.0,4956.0,4,201,20231013150000
2023-10-13 23:00:00,4956.0,4956.0,4946.0,4956.0,25,212,20231013230000
2023-10-16 11:15:00,4958.0,4958.0,4947.0,4955.0,11,216,20231016111500
