trade_date,open,high,low,close,vol,hold,datetime
2024-06-17 23:00:00,550.62,553.28,550.54,552.62,78,15,20240617230000
2024-06-18 01:00:00,552.62,552.62,552.18,552.18,3,15,20240618010000
2024-06-18 09:30:00,552.18,554.64,551.18,551.18,772,152,20240618093000
2024-06-18 13:45:00,551.6,552.46,551.18,551.38,18,151,20240618134500
2024-06-18 15:00:00,551.38,551.88,551.38,551.88,4,153,20240618150000
2024-06-18 23:00:00,550.5,552.66,550.5,552.26,42,141,20240618230000
2024-06-19 01:00:00,552.26,553.4,551.18,553.34,14,139,20240619010000
2024-06-19 09:30:00,553.34,553.64,553.14,553.26,6,140,20240619093000
2024-06-19 13:45:00,553.26,553.86,553.0,553.22,14,141,20240619134500
2024-06-19 15:00:00,553.22,554.06,553.22,553.86,17,154,20240619150000
2024-06-19 23:00:00,553.6,554.24,553.56,553.56,7,155,20240619230000
2024-06-20 01:00:00,553.56,554.5,553.56,554.5,2,157,20240620010000
2024-06-20 09:30:00,554.5,555.88,554.02,555.44,21,160,20240620093000
2024-06-20 13:45:00,555.44,558.24,554.76,558.24,254,94,20240620134500
2024-06-20 15:00:00,558.24,558.58,557.38,558.06,23,106,20240620150000
2024-06-20 23:00:00,557.52,562.96,557.38,562.76,62,110,20240620230000
2024-06-21 01:00:00,562.76,562.86,560.58,561.16,13,111,20240621010000
2024-06-21 09:30:00,561.16,562.66,561.16,562.02,3,111,20240621093000
2024-06-21 13:45:00,562.02,562.2,561.24,562.12,15,108,20240621134500
2024-06-21 15:00:00,562.12,562.7,560.76,561.14,15,96,20240621150000
2024-06-21 23:00:00,561.76,562.28,555.22,555.22,57,88,20240621230000
2024-06-22 01:00:00,554.74,554.74,554.24,554.24,5,90,20240622010000
2024-06-22 09:30:00,554.24,554.24,551.64,553.36,11,87,20240622093000
2024-06-24 01:00:00,555.22,556.02,553.6,554.74,13,87,20240624010000
2024-06-24 09:30:00,553.36,553.44,551.96,553.3,7,84,20240624093000
2024-06-24 13:45:00,553.5,553.7,552.18,553.7,14,86,20240624134500
2024-06-24 15:00:00,553.7,553.7,552.44,552.74,3,87,20240624150000
2024-06-24 23:00:00,553.16,554.54,553.02,554.5,109,89,20240624230000
2024-06-25 01:00:00,554.5,554.7,554.18,554.26,4,89,20240625010000
2024-06-25 09:30:00,554.26,555.8,554.26,554.3,4,89,20240625093000
2024-06-25 13:45:00,554.3,554.3,553.0,553.9,19,88,20240625134500
2024-06-25 15:00:00,553.9,553.9,553.28,553.82,3,86,20240625150000
2024-06-25 23:00:00,553.5,553.96,552.24,553.5,41,85,20240625230000
2024-06-26 01:00:00,553.5,553.76,551.06,551.06,7,86,20240626010000
2024-06-26 09:30:00,551.22,551.96,550.94,551.96,4,88,20240626093000
2024-06-26 13:45:00,551.96,551.96,548.44,550.34,13,89,20240626134500
2024-06-26 15:00:00,550.34,550.34,548.12,550.2,20,83,20240626150000
2024-06-26 23:00:00,549.6,549.6,545.66,546.08,38,92,20240626230000
2024-06-27 01:00:00,546.08,546.74,545.36,546.4,24,92,20240627010000
2024-06-27 09:30:00,546.4,546.64,545.84,546.06,5,91,20240627093000
2024-06-27 13:45:00,546.06,546.72,545.5,546.2,18,95,20240627134500
2024-06-27 15:00:00,546.2,547.26,546.2,546.62,19,95,20240627150000
2024-06-27 23:00:00,551.74,552.6,550.28,552.04,84,93,20240627230000
2024-06-28 01:00:00,552.04,552.34,551.96,552.34,10,89,20240628010000
2024-06-28 09:30:00,552.34,552.34,550.7,551.54,62,82,20240628093000
2024-06-28 13:45:00,551.54,551.88,550.86,551.74,9,79,20240628134500
2024-06-28 15:00:00,551.74,553.06,551.74,553.06,22,84,20240628150000
