trade_date,open,high,low,close,vol,hold,datetime
2023-03-06 23:00:00,21855.0,21890.0,21660.0,21875.0,2129,3230,20230306230000
2023-03-07 11:15:00,21880.0,22020.0,21875.0,21965.0,1126,3237,20230307111500
2023-03-07 15:00:00,21965.0,21995.0,21815.0,21820.0,724,3145,20230307150000
2023-03-07 23:00:00,21785.0,21895.0,21785.0,21890.0,774,3120,20230307230000
2023-03-08 11:15:00,21835.0,21930.0,21755.0,21880.0,855,3065,20230308111500
2023-03-08 15:00:00,21880.0,21955.0,21850.0,21955.0,611,3087,20230308150000
2023-03-08 23:00:00,21905.0,22025.0,21845.0,21890.0,1899,3114,20230308230000
2023-03-09 11:15:00,21875.0,22000.0,21735.0,21750.0,1433,3047,20230309111500
2023-03-09 15:00:00,21745.0,21835.0,21595.0,21630.0,953,2914,20230309150000
2023-03-09 23:00:00,21650.0,21695.0,21540.0,21645.0,1712,2857,20230309230000
2023-03-10 11:15:00,21635.0,21635.0,21280.0,21280.0,1653,2850,20230310111500
2023-03-10 15:00:00,21280.0,21400.0,21210.0,21235.0,1463,2873,20230310150000
2023-03-10 23:00:00,21250.0,21295.0,21120.0,21280.0,1417,2939,20230310230000
2023-03-13 11:15:00,21210.0,21210.0,21055.0,21140.0,1372,3001,20230313111500
2023-03-13 15:00:00,21140.0,21225.0,21010.0,21030.0,1574,3603,20230313150000
2023-03-13 23:00:00,20870.0,21230.0,20870.0,21150.0,1836,3421,20230313230000
2023-03-14 11:15:00,21150.0,21290.0,21135.0,21195.0,1100,3286,20230314111500
2023-03-14 15:00:00,21195.0,21245.0,21080.0,21135.0,711,3317,20230314150000
2023-03-14 23:00:00,21195.0,21270.0,21170.0,21230.0,916,3274,20230314230000
2023-03-15 11:15:00,21230.0,21230.0,21115.0,21135.0,657,3310,20230315111500
2023-03-15 15:00:00,21135.0,21205.0,21115.0,21185.0,363,3258,20230315150000
2023-03-15 23:00:00,21020.0,21080.0,20960.0,20960.0,932,3323,20230315230000
2023-03-16 11:15:00,20960.0,21005.0,20700.0,20730.0,1309,3449,20230316111500
2023-03-16 15:00:00,20730.0,20835.0,20610.0,20625.0,1389,3579,20230316150000
2023-03-16 23:00:00,20680.0,20760.0,20600.0,20735.0,1497,3594,20230316230000
2023-03-17 11:15:00,20735.0,20890.0,20720.0,20815.0,1088,3519,20230317111500
2023-03-17 15:00:00,20820.0,20830.0,20675.0,20735.0,939,3701,20230317150000
2023-03-17 23:00:00,20700.0,20830.0,20675.0,20805.0,851,3662,20230317230000
2023-03-20 11:15:00,20805.0,21045.0,20785.0,20895.0,1687,3537,20230320111500
2023-03-20 15:00:00,20895.0,20900.0,20505.0,20555.0,1736,3988,20230320150000
2023-03-20 23:00:00,20615.0,20800.0,20520.0,20795.0,1828,4005,20230320230000
2023-03-21 11:15:00,20795.0,20850.0,20590.0,20650.0,1281,4093,20230321111500
2023-03-21 15:00:00,20650.0,20735.0,20615.0,20735.0,665,4032,20230321150000
2023-03-21 23:00:00,20830.0,20880.0,20750.0,20810.0,1382,4002,20230321230000
2023-03-22 11:15:00,20830.0,20830.0,20645.0,20715.0,951,4067,20230322111500
2023-03-22 15:00:00,20715.0,20845.0,20670.0,20775.0,526,4022,20230322150000
2023-03-22 23:00:00,20850.0,20850.0,20715.0,20800.0,689,4029,20230322230000
