trade_date,open,high,low,close,vol,hold,datetime
2023-08-18 11:15:00,936.0,936.0,936.0,936.0,415,159,20230818111500
2023-08-18 15:00:00,936.0,936.0,923.0,936.0,1157,680,20230818150000
2023-08-21 11:15:00,980.0,1006.0,940.0,979.0,1248,772,20230821111500
2023-08-21 15:00:00,979.0,1004.0,967.3,997.0,502,850,20230821150000
2023-08-22 11:15:00,973.0,1074.1,971.6,1074.1,2323,1338,20230822111500
2023-08-22 15:00:00,1074.1,1074.1,1010.0,1041.0,1949,1499,20230822150000
2023-08-23 11:15:00,1050.0,1138.8,1042.9,1088.2,4822,2166,20230823111500
2023-08-23 15:00:00,1087.9,1098.1,1066.7,1080.8,1148,2143,20230823150000
2023-08-24 11:15:00,1089.6,1107.4,1033.2,1036.5,2984,2110,20230824111500
2023-08-24 15:00:00,1036.5,1039.2,985.2,985.2,3968,2235,20230824150000
2023-08-25 11:15:00,991.0,999.0,965.7,976.6,2456,2318,20230825111500
2023-08-25 15:00:00,976.6,1013.6,929.9,974.3,5254,2422,20230825150000
2023-08-28 11:15:00,966.8,991.1,936.2,941.5,2001,2602,20230828111500
2023-08-28 15:00:00,949.4,950.7,913.0,938.4,1370,2437,20230828150000
2023-08-29 11:15:00,940.0,960.5,912.2,938.9,1983,2380,20230829111500
2023-08-29 15:00:00,938.9,958.5,938.9,943.5,629,2394,20230829150000
2023-08-30 11:15:00,955.0,964.8,941.0,951.1,2338,2352,20230830111500
2023-08-30 15:00:00,951.1,957.8,945.0,946.2,556,2283,20230830150000
2023-08-31 11:15:00,949.2,953.6,930.0,933.0,861,2332,20230831111500
2023-08-31 15:00:00,933.0,939.0,926.3,936.5,511,2309,20230831150000
2023-09-01 11:15:00,945.2,959.6,936.0,951.1,710,2317,20230901111500
2023-09-01 15:00:00,951.1,959.8,944.9,947.2,581,2244,20230901150000
2023-09-04 11:15:00,950.0,963.0,932.6,939.1,569,2272,20230904111500
2023-09-04 15:00:00,939.1,944.5,934.4,935.5,290,2223,20230904150000
2023-09-05 11:15:00,930.0,1022.0,930.0,1002.8,2800,2233,20230905111500
2023-09-05 15:00:00,1003.6,1027.0,996.0,1002.1,3779,2232,20230905150000
2023-09-06 11:15:00,1008.8,1016.2,975.4,982.2,1326,2209,20230906111500
2023-09-06 15:00:00,982.2,990.2,976.0,984.4,602,2175,20230906150000
2023-09-07 11:15:00,987.5,1006.9,976.7,983.8,1016,2173,20230907111500
2023-09-07 15:00:00,983.8,996.7,982.2,993.7,745,2107,20230907150000
2023-09-08 11:15:00,987.7,1000.0,972.0,974.6,557,2114,20230908111500
2023-09-08 15:00:00,974.6,979.2,968.0,971.2,462,2186,20230908150000
2023-09-11 11:15:00,973.9,985.0,966.0,981.0,326,2204,20230911111500
2023-09-11 15:00:00,981.0,985.5,967.3,973.0,257,2193,20230911150000
2023-09-12 11:15:00,972.5,978.1,970.8,973.4,216,2215,20230912111500
2023-09-12 15:00:00,973.4,984.1,973.0,974.1,207,2198,20230912150000
2023-09-13 11:15:00,979.9,984.0,975.5,981.5,243,2181,20230913111500
2023-09-13 15:00:00,981.5,982.2,949.6,953.3,316,2118,20230913150000
2023-09-14 11:15:00,952.9,957.4,946.5,950.8,100,2112,20230914111500
2023-09-14 15:00:00,950.8,955.1,936.2,939.4,155,2105,20230914150000
2023-09-15 11:15:00,943.2,948.1,938.4,943.7,133,2112,20230915111500
2023-09-15 15:00:00,943.7,947.0,939.0,947.0,43,2121,20230915150000
2023-09-18 11:15:00,942.0,963.5,942.0,956.0,281,2073,20230918111500
2023-09-18 15:00:00,956.0,968.9,954.6,968.9,87,2044,20230918150000
2023-09-19 11:15:00,968.7,968.7,951.2,954.6,126,2033,20230919111500
2023-09-19 15:00:00,954.6,954.6,950.1,950.1,125,2036,20230919150000
2023-09-20 11:15:00,954.0,963.2,954.0,958.2,123,1998,20230920111500
2023-09-20 15:00:00,958.2,963.0,954.5,961.5,34,2000,20230920150000
2023-09-21 11:15:00,960.0,965.5,951.0,953.2,41,1995,20230921111500
2023-09-21 15:00:00,953.2,957.0,936.1,936.1,134,1985,20230921150000
2023-09-22 11:15:00,942.0,942.0,933.0,935.8,66,1975,20230922111500
2023-09-22 15:00:00,935.8,936.0,926.6,930.0,61,1960,20230922150000
2023-09-25 11:15:00,932.9,936.0,924.6,924.7,76,1958,20230925111500
2023-09-25 15:00:00,924.7,924.9,901.8,905.7,123,1955,20230925150000
2023-09-26 11:15:00,901.0,902.4,846.6,848.0,275,1972,20230926111500
2023-09-26 15:00:00,848.0,855.6,834.1,834.4,195,2009,20230926150000
2023-09-27 11:15:00,837.0,839.3,803.1,826.0,239,2030,20230927111500
2023-09-27 15:00:00,826.0,826.8,799.9,807.0,214,2040,20230927150000
2023-09-28 11:15:00,807.0,818.0,780.7,780.7,205,2049,20230928111500
2023-09-28 15:00:00,780.7,819.5,772.6,807.2,711,2271,20230928150000
2023-10-09 11:15:00,811.0,818.4,785.6,790.1,269,2284,20231009111500
2023-10-09 15:00:00,790.1,833.5,789.0,825.8,124,2264,20231009150000
2023-10-10 11:15:00,825.0,825.0,800.1,813.5,224,2264,20231010111500
2023-10-10 15:00:00,813.5,822.2,791.4,791.4,315,2355,20231010150000
2023-10-11 11:15:00,798.0,815.9,797.2,805.9,347,2390,20231011111500
2023-10-11 15:00:00,805.9,811.8,800.0,807.0,98,2394,20231011150000
2023-10-12 11:15:00,804.8,839.0,798.0,839.0,303,2373,20231012111500
2023-10-12 15:00:00,839.0,865.0,835.8,852.5,174,2371,20231012150000
2023-10-13 11:15:00,849.0,864.2,843.0,848.2,262,2408,20231013111500
2023-10-13 15:00:00,848.2,851.9,831.2,841.4,254,2445,20231013150000
2023-10-16 11:15:00,855.0,875.1,843.0,846.0,304,2451,20231016111500
2023-10-16 15:00:00,848.5,851.8,828.0,829.6,204,2523,20231016150000
2023-10-17 11:15:00,828.0,828.0,780.7,790.9,352,2558,20231017111500
2023-10-17 15:00:00,790.9,795.2,769.8,769.8,393,2763,20231017150000
2023-10-18 11:15:00,771.2,793.4,764.0,772.7,440,2815,20231018111500
2023-10-18 15:00:00,772.7,777.0,760.1,770.0,207,2881,20231018150000
2023-10-19 11:15:00,760.7,786.9,760.3,781.0,553,2993,20231019111500
2023-10-19 15:00:00,781.0,803.5,771.0,803.5,237,3003,20231019150000
2023-10-20 11:15:00,815.0,816.3,782.8,783.6,257,3016,20231020111500
2023-10-20 15:00:00,783.6,791.5,771.0,785.0,201,3029,20231020150000
2023-10-23 11:15:00,792.0,817.4,778.9,805.0,315,3033,20231023111500
2023-10-23 15:00:00,805.0,806.6,788.8,804.9,197,3029,20231023150000
