trade_date,open,high,low,close,vol,hold,datetime
2024-05-28 23:00:00,4799.0,4799.0,4640.0,4640.0,2,0,20240528230000
2024-05-30 11:15:00,4763.0,4765.0,4763.0,4765.0,2,2,20240530111500
2024-05-31 11:15:00,4674.0,4674.0,4674.0,4674.0,1,2,20240531111500
2024-05-31 15:00:00,4675.0,4781.0,4675.0,4745.0,4,3,20240531150000
2024-05-31 23:00:00,4886.0,4886.0,4744.0,4744.0,5,5,20240531230000
2024-06-03 11:15:00,4744.0,4752.0,4744.0,4752.0,1,6,20240603111500
2024-06-03 15:00:00,4752.0,4752.0,4662.0,4722.0,2,6,20240603150000
2024-06-04 11:15:00,4723.0,4723.0,4723.0,4723.0,6,11,20240604111500
2024-06-04 15:00:00,4723.0,4723.0,4687.0,4687.0,1,11,20240604150000
2024-06-04 23:00:00,4681.0,4681.0,4681.0,4681.0,1,11,20240604230000
2024-06-05 15:00:00,4650.0,4650.0,4650.0,4650.0,1,12,20240605150000
2024-06-06 11:15:00,4650.0,4650.0,4640.0,4640.0,2,12,20240606111500
2024-06-06 23:00:00,4640.0,4640.0,4640.0,4640.0,1,12,20240606230000
2024-06-07 15:00:00,4669.0,4669.0,4669.0,4669.0,1,12,20240607150000
2024-06-12 11:15:00,4625.0,4625.0,4624.0,4624.0,5,13,20240612111500
2024-06-13 11:15:00,4640.0,4640.0,4640.0,4640.0,1,14,20240613111500
2024-06-13 23:00:00,4625.0,4632.0,4625.0,4632.0,5,16,20240613230000
2024-06-14 15:00:00,4632.0,4632.0,4613.0,4613.0,7,15,20240614150000
2024-06-17 15:00:00,4601.0,4601.0,4601.0,4601.0,1,14,20240617150000
2024-06-18 15:00:00,4589.0,4589.0,4589.0,4589.0,1,15,20240618150000
2024-06-18 23:00:00,4583.0,4583.0,4583.0,4583.0,2,16,20240618230000
2024-06-19 15:00:00,4601.0,4601.0,4583.0,4600.0,3,16,20240619150000
2024-06-19 23:00:00,4600.0,4600.0,4600.0,4600.0,2,18,20240619230000
2024-06-20 15:00:00,4605.0,4605.0,4605.0,4605.0,1,17,20240620150000
2024-06-20 23:00:00,4605.0,4616.0,4605.0,4616.0,3,18,20240620230000
2024-06-21 11:15:00,4616.0,4628.0,4616.0,4628.0,1,18,20240621111500
2024-06-25 11:15:00,4629.0,4645.0,4629.0,4645.0,2,19,20240625111500
2024-06-25 15:00:00,4645.0,4646.0,4630.0,4646.0,2,18,20240625150000
2024-06-25 23:00:00,4629.0,4641.0,4629.0,4641.0,2,19,20240625230000
2024-06-26 11:15:00,4638.0,4650.0,4631.0,4650.0,4,20,20240626111500
2024-06-26 15:00:00,4650.0,4650.0,4650.0,4650.0,1,21,20240626150000
2024-06-27 11:15:00,4658.0,4666.0,4650.0,4666.0,5,22,20240627111500
2024-06-27 15:00:00,4666.0,4666.0,4655.0,4655.0,2,23,20240627150000
2024-06-28 15:00:00,4697.0,4697.0,4697.0,4697.0,1,22,20240628150000
2024-07-01 11:15:00,4692.0,4696.0,4692.0,4696.0,4,23,20240701111500
2024-07-01 23:00:00,4690.0,4690.0,4690.0,4690.0,1,22,20240701230000
2024-07-02 11:15:00,4690.0,4690.0,4687.0,4687.0,1,23,20240702111500
2024-07-02 23:00:00,4694.0,4697.0,4687.0,4697.0,3,26,20240702230000
2024-07-03 11:15:00,4706.0,4724.0,4706.0,4724.0,2,28,20240703111500
2024-07-04 15:00:00,4717.0,4717.0,4694.0,4694.0,3,28,20240704150000
2024-07-05 15:00:00,4690.0,4693.0,4682.0,4693.0,6,28,20240705150000
2024-07-05 23:00:00,4713.0,4713.0,4713.0,4713.0,1,28,20240705230000
2024-07-08 15:00:00,4669.0,4669.0,4669.0,4669.0,1,29,20240708150000
2024-07-08 23:00:00,4674.0,4674.0,4674.0,4674.0,2,30,20240708230000
