trade_date,open,high,low,close,vol,hold,datetime
2024-01-15 23:00:00,3929.0,3938.0,3925.0,3925.0,40,30,20240115230000
2024-01-16 11:15:00,3925.0,3928.0,3915.0,3915.0,44,58,20240116111500
2024-01-16 15:00:00,3910.0,3922.0,3896.0,3922.0,185,149,20240116150000
2024-01-16 23:00:00,3930.0,3950.0,3918.0,3927.0,157,260,20240116230000
2024-01-17 11:15:00,3927.0,3937.0,3907.0,3908.0,77,330,20240117111500
2024-01-17 15:00:00,3908.0,3913.0,3888.0,3891.0,67,351,20240117150000
2024-01-17 23:00:00,3883.0,3913.0,3883.0,3913.0,44,371,20240117230000
2024-01-18 11:15:00,3913.0,3915.0,3888.0,3893.0,5033,5391,20240118111500
2024-01-18 15:00:00,3901.0,3936.0,3901.0,3932.0,132,5453,20240118150000
2024-01-18 23:00:00,3932.0,3932.0,3912.0,3912.0,147,5457,20240118230000
2024-01-19 11:15:00,3920.0,3942.0,3917.0,3938.0,1046,6468,20240119111500
2024-01-19 15:00:00,3938.0,3939.0,3922.0,3939.0,60,6497,20240119150000
2024-01-19 23:00:00,3926.0,3930.0,3915.0,3915.0,138,6569,20240119230000
2024-01-22 11:15:00,3915.0,3943.0,3915.0,3939.0,87,6593,20240122111500
2024-01-22 15:00:00,3939.0,3942.0,3907.0,3919.0,85,6606,20240122150000
2024-01-22 23:00:00,3923.0,3938.0,3918.0,3938.0,63,6632,20240122230000
2024-01-23 11:15:00,3940.0,3952.0,3937.0,3944.0,71,6637,20240123111500
2024-01-23 15:00:00,3944.0,3951.0,3938.0,3949.0,35,6634,20240123150000
2024-01-23 23:00:00,3949.0,3953.0,3946.0,3946.0,96,6623,20240123230000
2024-01-24 11:15:00,3946.0,3962.0,3946.0,3954.0,46,6642,20240124111500
2024-01-24 15:00:00,3960.0,3977.0,3959.0,3977.0,25,6644,20240124150000
2024-01-24 23:00:00,3990.0,4003.0,3980.0,3998.0,112,6673,20240124230000
2024-01-25 11:15:00,3998.0,4009.0,3995.0,4002.0,71,6687,20240125111500
2024-01-25 15:00:00,4002.0,4013.0,3987.0,4001.0,84,6733,20240125150000
2024-01-25 23:00:00,3998.0,4002.0,3986.0,3986.0,53,6753,20240125230000
