trade_date,open,high,low,close,vol,hold,datetime
2023-12-14 23:00:00,850.0,853.5,843.5,850.0,46,34,20231214230000
2023-12-15 11:15:00,850.0,854.0,848.0,850.5,91,119,20231215111500
2023-12-15 15:00:00,850.5,850.5,833.0,837.0,220,317,20231215150000
2023-12-15 23:00:00,836.5,837.0,817.0,818.5,219,514,20231215230000
2023-12-18 11:15:00,818.5,823.0,815.0,820.5,56,608,20231218111500
2023-12-18 15:00:00,820.5,828.5,820.5,828.0,58,635,20231218150000
2023-12-18 23:00:00,826.0,830.0,824.0,825.0,459,1040,20231218230000
2023-12-19 11:15:00,825.0,832.0,824.0,829.0,161,1145,20231219111500
2023-12-19 15:00:00,829.0,829.0,823.0,826.0,239,1315,20231219150000
2023-12-19 23:00:00,828.0,830.0,827.0,828.0,57,1351,20231219230000
2023-12-20 11:15:00,828.0,841.0,828.0,838.0,157,1357,20231220111500
2023-12-20 15:00:00,838.0,842.0,835.5,835.5,150,1315,20231220150000
2023-12-20 23:00:00,835.5,844.0,833.0,842.5,83,1293,20231220230000
2023-12-21 11:15:00,842.5,845.0,840.0,844.5,139,1221,20231221111500
2023-12-21 15:00:00,844.5,858.5,843.0,855.0,409,981,20231221150000
2023-12-21 23:00:00,859.5,866.0,858.0,861.0,75,983,20231221230000
2023-12-22 11:15:00,861.0,869.0,858.0,865.5,52,988,20231222111500
2023-12-22 15:00:00,865.5,866.0,858.0,865.0,70,996,20231222150000
2023-12-22 23:00:00,863.5,865.0,858.0,865.0,39,1000,20231222230000
2023-12-25 11:15:00,865.0,865.0,848.0,848.5,76,1030,20231225111500
2023-12-25 15:00:00,848.5,859.0,845.5,856.0,55,1023,20231225150000
2023-12-25 23:00:00,856.0,862.0,855.5,860.0,34,1018,20231225230000
2023-12-26 11:15:00,860.0,867.5,860.0,867.5,38,1018,20231226111500
2023-12-26 15:00:00,867.5,872.5,864.0,869.5,66,1025,20231226150000
2023-12-26 23:00:00,868.0,871.0,853.0,859.5,96,1053,20231226230000
2023-12-27 11:15:00,860.0,869.0,860.0,862.5,43,1060,20231227111500
2023-12-27 15:00:00,862.5,867.5,862.5,864.0,121,1128,20231227150000
2023-12-27 23:00:00,866.0,866.5,855.0,857.5,50,1134,20231227230000
2023-12-28 11:15:00,857.5,862.0,854.0,854.0,38,1146,20231228111500
2023-12-28 15:00:00,854.0,854.0,837.0,841.0,228,1251,20231228150000
2023-12-28 23:00:00,839.5,851.5,839.5,850.0,97,1256,20231228230000
2023-12-29 11:15:00,850.0,850.0,843.5,849.0,45,1271,20231229111500
2023-12-29 15:00:00,849.0,856.0,849.0,855.5,151,1213,20231229150000
2024-01-02 11:15:00,854.0,864.5,845.0,862.0,258,1218,20240102111500
2024-01-02 15:00:00,862.0,870.0,861.5,866.5,114,1225,20240102150000
2024-01-02 23:00:00,868.0,879.5,868.0,873.0,286,1236,20240102230000
2024-01-03 11:15:00,873.0,887.0,873.0,878.5,246,1252,20240103111500
