trade_date,open,high,low,close,vol,hold,datetime
2024-04-22 11:30:00,5149.6,5217.2,5122.8,5152.6,1822,2064,20240422113000
2024-04-22 15:00:00,5152.6,5168.6,5127.4,5134.4,2600,4546,20240422150000
2024-04-23 11:30:00,5137.4,5163.4,5064.2,5082.8,1885,4527,20240423113000
2024-04-23 15:00:00,5086.6,5101.4,5059.6,5071.8,1170,5076,20240423150000
2024-04-24 11:30:00,5091.8,5098.4,5050.0,5081.0,1187,5017,20240424113000
2024-04-24 15:00:00,5081.0,5132.6,5078.0,5127.8,1843,5895,20240424150000
2024-04-25 11:30:00,5112.0,5180.2,5093.6,5146.0,2933,6732,20240425113000
2024-04-25 15:00:00,5146.0,5146.0,5106.0,5128.8,1581,7989,20240425150000
2024-04-26 11:30:00,5147.8,5229.4,5147.6,5215.8,2220,7663,20240426113000
2024-04-26 15:00:00,5215.8,5290.2,5215.8,5268.4,2782,9327,20240426150000
2024-04-29 11:30:00,5289.8,5410.8,5289.8,5380.2,3237,9895,20240429113000
2024-04-29 15:00:00,5380.2,5424.6,5376.0,5380.0,3772,12665,20240429150000
2024-04-30 11:30:00,5398.6,5399.2,5341.6,5349.0,2690,12389,20240430113000
2024-04-30 15:00:00,5349.0,5370.0,5339.2,5339.2,2369,13288,20240430150000
2024-05-06 11:30:00,5443.6,5463.6,5412.6,5427.2,3491,13790,20240506113000
2024-05-06 15:00:00,5427.2,5438.6,5400.2,5427.8,1914,15267,20240506150000
2024-05-07 11:30:00,5431.0,5440.0,5393.0,5396.0,2338,15149,20240507113000
2024-05-07 15:00:00,5396.0,5425.6,5395.0,5413.8,1772,15881,20240507150000
2024-05-08 11:30:00,5397.2,5403.8,5346.6,5349.2,2969,17180,20240508113000
2024-05-08 15:00:00,5345.2,5361.2,5327.2,5335.4,2298,19027,20240508150000
2024-05-09 11:30:00,5349.6,5458.0,5348.8,5458.0,3395,18896,20240509113000
2024-05-09 15:00:00,5458.0,5460.8,5426.8,5436.6,1976,19888,20240509150000
2024-05-10 11:30:00,5445.4,5466.4,5359.4,5380.2,4392,20825,20240510113000
2024-05-10 15:00:00,5380.2,5419.4,5380.2,5416.6,1698,22477,20240510150000
2024-05-13 11:30:00,5380.0,5407.4,5328.0,5385.8,3954,22353,20240513113000
2024-05-13 15:00:00,5385.8,5404.0,5360.8,5380.0,1966,23160,20240513150000
2024-05-14 11:30:00,5388.8,5432.0,5357.2,5377.6,3488,23909,20240514113000
2024-05-14 15:00:00,5379.2,5397.0,5363.6,5372.8,2103,25738,20240514150000
2024-05-15 11:30:00,5371.6,5373.4,5328.0,5371.4,2707,25401,20240515113000
2024-05-15 15:00:00,5371.4,5375.2,5309.0,5325.0,2588,26886,20240515150000
2024-05-16 11:30:00,5357.8,5363.0,5320.0,5343.4,2484,27177,20240516113000
2024-05-16 15:00:00,5343.4,5356.0,5274.6,5293.6,3491,29165,20240516150000
2024-05-17 11:30:00,5293.0,5337.2,5289.0,5294.2,2545,28928,20240517113000
2024-05-17 15:00:00,5294.2,5386.2,5294.0,5380.8,2407,30429,20240517150000
2024-05-20 11:30:00,5390.8,5431.8,5368.4,5379.8,2524,29733,20240520113000
2024-05-20 15:00:00,5381.4,5409.6,5377.8,5391.4,1460,30320,20240520150000
2024-05-21 11:30:00,5370.0,5390.8,5352.4,5365.4,1035,29838,20240521113000
2024-05-21 15:00:00,5365.4,5368.8,5335.0,5361.8,1337,30393,20240521150000
2024-05-22 11:30:00,5361.8,5366.8,5328.2,5340.2,1409,30179,20240522113000
2024-05-22 15:00:00,5339.4,5363.2,5330.2,5341.2,1324,30945,20240522150000
2024-05-23 11:30:00,5321.8,5321.8,5252.0,5254.4,2121,31003,20240523113000
2024-05-23 15:00:00,5254.4,5257.0,5221.2,5249.6,2216,32288,20240523150000
2024-05-24 11:30:00,5239.4,5287.6,5231.2,5239.2,2323,31787,20240524113000
2024-05-24 15:00:00,5239.2,5245.2,5184.6,5190.0,2880,33308,20240524150000
2024-05-27 11:30:00,5209.0,5218.0,5154.0,5180.2,1658,33042,20240527113000
2024-05-27 15:00:00,5178.2,5243.6,5171.8,5236.2,2292,34430,20240527150000
2024-05-28 11:30:00,5222.8,5232.4,5188.0,5206.2,2396,34346,20240528113000
2024-05-28 15:00:00,5205.4,5209.2,5173.0,5189.8,1837,35284,20240528150000
2024-05-29 11:30:00,5189.6,5244.0,5185.4,5218.4,3587,35795,20240529113000
2024-05-29 15:00:00,5218.4,5224.6,5175.0,5199.8,2345,37182,20240529150000
2024-05-30 11:30:00,5182.8,5230.0,5170.0,5204.8,1835,36299,20240530113000
2024-05-30 15:00:00,5204.8,5212.0,5180.0,5195.2,991,37069,20240530150000
2024-05-31 11:30:00,5201.0,5248.0,5199.4,5222.6,2459,36390,20240531113000
2024-05-31 15:00:00,5222.6,5226.2,5190.8,5194.2,1889,37052,20240531150000
2024-06-03 11:30:00,5194.2,5199.6,5130.6,5131.8,2596,37492,20240603113000
2024-06-03 15:00:00,5130.8,5148.8,5105.6,5145.8,1329,39056,20240603150000
2024-06-04 11:30:00,5140.2,5192.0,5124.4,5174.0,3904,38657,20240604113000
2024-06-04 15:00:00,5174.0,5238.2,5154.4,5209.0,3502,40498,20240604150000
2024-06-05 11:30:00,5195.0,5220.4,5193.4,5199.4,3540,39313,20240605113000
2024-06-05 15:00:00,5198.0,5203.6,5151.8,5154.8,2891,39996,20240605150000
2024-06-06 11:30:00,5182.2,5191.6,5121.2,5143.8,4673,40552,20240606113000
2024-06-06 15:00:00,5143.8,5168.0,5096.6,5120.0,2738,41970,20240606150000
2024-06-07 11:30:00,5150.0,5160.8,5060.0,5090.6,4217,41000,20240607113000
2024-06-07 15:00:00,5090.6,5114.4,5057.0,5087.0,3633,42824,20240607150000
2024-06-11 11:30:00,5055.4,5099.8,5041.4,5078.8,4392,42376,20240611113000
2024-06-11 15:00:00,5078.6,5120.6,5062.0,5105.0,2762,43625,20240611150000
2024-06-12 11:30:00,5087.0,5125.2,5087.0,5110.0,3552,43639,20240612113000
2024-06-12 15:00:00,5112.2,5129.0,5094.0,5108.8,3492,44924,20240612150000
2024-06-13 11:30:00,5117.2,5121.4,5073.6,5078.0,2426,45012,20240613113000
2024-06-13 15:00:00,5078.6,5088.6,5055.8,5076.0,2881,46222,20240613150000
2024-06-14 11:30:00,5067.2,5101.2,5045.0,5070.2,4799,46733,20240614113000
2024-06-14 15:00:00,5070.2,5138.4,5065.4,5111.4,4980,47752,20240614150000
2024-06-17 11:30:00,5093.0,5116.6,5083.6,5095.0,5259,47794,20240617113000
2024-06-17 15:00:00,5090.4,5110.8,5088.0,5098.8,4234,49921,20240617150000
2024-06-18 11:30:00,5096.0,5147.0,5096.0,5133.0,4150,50092,20240618113000
2024-06-18 15:00:00,5133.0,5137.2,5107.2,5127.8,3486,51269,20240618150000
2024-06-19 11:30:00,5137.6,5142.6,5062.4,5070.8,6269,52264,20240619113000
2024-06-19 15:00:00,5070.2,5092.0,5062.2,5068.4,3986,54250,20240619150000
2024-06-20 11:30:00,5058.0,5085.4,5008.2,5010.2,15650,53494,20240620113000
2024-06-20 15:00:00,5010.2,5024.2,4983.8,4991.8,7792,55154,20240620150000
2024-06-21 11:30:00,4976.6,5028.0,4970.2,4991.6,9730,55208,20240621113000
2024-06-21 15:00:00,4991.0,5020.2,4979.8,4993.6,2952,56936,20240621150000
2024-06-24 11:30:00,4970.0,4979.8,4888.2,4928.0,6037,56886,20240624113000
2024-06-24 15:00:00,4927.8,4956.2,4877.0,4891.6,3959,58181,20240624150000
2024-06-25 11:30:00,4902.0,4912.2,4853.0,4864.8,7597,57356,20240625113000
2024-06-25 15:00:00,4864.8,4893.0,4805.0,4848.0,8193,58311,20240625150000
2024-06-26 11:30:00,4839.0,4850.0,4803.4,4823.8,3400,57684,20240626113000
2024-06-26 15:00:00,4823.8,4921.8,4822.2,4908.2,4405,59257,20240626150000
2024-06-27 11:30:00,4892.2,4901.6,4824.6,4846.8,7941,57958,20240627113000
2024-06-27 15:00:00,4848.2,4859.2,4812.8,4828.0,7326,58935,20240627150000
2024-06-28 11:30:00,4808.4,4912.2,4808.4,4875.2,4723,58138,20240628113000
2024-06-28 15:00:00,4877.0,4887.6,4818.0,4826.0,3773,59465,20240628150000
2024-07-01 11:30:00,4840.0,4863.4,4812.0,4838.2,3357,58727,20240701113000
2024-07-01 15:00:00,4839.2,4908.6,4830.2,4878.0,3656,59865,20240701150000
2024-07-02 11:30:00,4880.0,4883.4,4830.2,4841.2,3266,59083,20240702113000
2024-07-02 15:00:00,4839.6,4855.0,4816.0,4837.6,2755,60144,20240702150000
2024-07-03 11:30:00,4833.4,4846.8,4791.2,4823.6,3882,59907,20240703113000
2024-07-03 15:00:00,4824.8,4829.6,4793.0,4793.0,2549,60590,20240703150000
2024-07-04 11:30:00,4816.0,4820.6,4751.0,4752.6,3256,60048,20240704113000
2024-07-04 15:00:00,4752.6,4758.6,4707.0,4715.2,4252,61524,20240704150000
2024-07-05 11:30:00,4714.4,4724.8,4678.4,4699.8,4557,60973,20240705113000
2024-07-05 15:00:00,4698.0,4763.8,4686.8,4744.2,4111,62607,20240705150000
2024-07-08 11:30:00,4742.2,4742.2,4680.0,4691.2,2858,61765,20240708113000
2024-07-08 15:00:00,4691.2,4694.0,4644.0,4667.4,3571,63089,20240708150000
2024-07-09 11:30:00,4659.0,4705.4,4630.4,4686.6,5712,63173,20240709113000
2024-07-09 15:00:00,4686.6,4780.0,4686.6,4753.0,4745,65066,20240709150000
2024-07-10 11:30:00,4750.0,4788.2,4741.8,4764.2,4960,64208,20240710113000
2024-07-10 15:00:00,4764.0,4772.8,4734.4,4740.8,4044,65446,20240710150000
2024-07-11 11:30:00,4804.0,4849.8,4764.6,4818.2,13117,65845,20240711113000
2024-07-11 15:00:00,4817.0,4838.8,4811.6,4836.4,3546,67688,20240711150000
2024-07-12 11:30:00,4830.6,4844.6,4804.2,4808.0,4124,66586,20240712113000
2024-07-12 15:00:00,4808.6,4835.0,4801.2,4816.2,3275,67669,20240712150000
