trade_date,open,high,low,close,vol,hold,datetime
2023-03-03 23:00:00,4029.0,4049.0,3953.0,3984.0,52049,27229,20230303230000
2023-03-06 11:15:00,4047.0,4097.0,4040.0,4054.0,36702,26504,20230306111500
2023-03-06 15:00:00,4053.0,4068.0,4037.0,4063.0,12899,25849,20230306150000
2023-03-06 23:00:00,4044.0,4110.0,4044.0,4103.0,45054,27217,20230306230000
2023-03-07 11:15:00,4165.0,4218.0,4144.0,4201.0,36665,28193,20230307111500
2023-03-07 15:00:00,4201.0,4206.0,4171.0,4171.0,16652,26883,20230307150000
2023-03-07 23:00:00,4154.0,4192.0,4142.0,4190.0,33934,24818,20230307230000
2023-03-08 11:15:00,4078.0,4113.0,4049.0,4101.0,31346,23338,20230308111500
2023-03-08 15:00:00,4101.0,4117.0,4086.0,4099.0,15602,22851,20230308150000
2023-03-08 23:00:00,4089.0,4089.0,4001.0,4013.0,35613,23638,20230308230000
2023-03-09 11:15:00,4007.0,4018.0,3983.0,3994.0,20758,24173,20230309111500
2023-03-09 15:00:00,3995.0,4038.0,3994.0,4035.0,13334,23441,20230309150000
2023-03-09 23:00:00,4036.0,4073.0,4010.0,4057.0,30655,22104,20230309230000
2023-03-10 11:15:00,3953.0,3981.0,3911.0,3912.0,27516,22145,20230310111500
2023-03-10 15:00:00,3911.0,3934.0,3874.0,3875.0,21325,22424,20230310150000
2023-03-10 23:00:00,3903.0,3949.0,3888.0,3940.0,38036,21760,20230310230000
2023-03-13 11:15:00,3986.0,3988.0,3925.0,3942.0,19842,21099,20230313111500
2023-03-13 15:00:00,3943.0,3965.0,3942.0,3954.0,9731,19832,20230313150000
2023-03-13 23:00:00,3788.0,3884.0,3760.0,3881.0,58173,86844,20230313230000
2023-03-14 11:15:00,3841.0,3854.0,3788.0,3793.0,37254,89055,20230314111500
2023-03-14 15:00:00,3793.0,3804.0,3782.0,3789.0,22639,88826,20230314150000
2023-03-14 23:00:00,3781.0,3829.0,3766.0,3804.0,56678,90792,20230314230000
2023-03-15 11:15:00,3753.0,3780.0,3741.0,3751.0,38499,93875,20230315111500
2023-03-15 15:00:00,3751.0,3753.0,3732.0,3737.0,21727,94152,20230315150000
2023-03-15 23:00:00,3632.0,3647.0,3578.0,3583.0,91563,97033,20230315230000
2023-03-16 11:15:00,3615.0,3615.0,3543.0,3575.0,53108,96910,20230316111500
2023-03-16 15:00:00,3576.0,3600.0,3566.0,3575.0,28540,95876,20230316150000
2023-03-16 23:00:00,3574.0,3587.0,3509.0,3577.0,76429,96353,20230316230000
2023-03-17 11:15:00,3592.0,3643.0,3578.0,3641.0,34763,95749,20230317111500
2023-03-17 15:00:00,3641.0,3645.0,3595.0,3621.0,28755,94412,20230317150000
2023-03-17 23:00:00,3585.0,3631.0,3571.0,3592.0,63843,94516,20230317230000
2023-03-20 11:15:00,3623.0,3655.0,3603.0,3616.0,42242,93236,20230320111500
2023-03-20 15:00:00,3616.0,3619.0,3552.0,3560.0,27835,93590,20230320150000
2023-03-20 23:00:00,3619.0,3631.0,3572.0,3580.0,59749,91903,20230320230000
2023-03-21 11:15:00,3634.0,3640.0,3584.0,3594.0,34317,91255,20230321111500
2023-03-21 15:00:00,3594.0,3621.0,3579.0,3614.0,28789,91034,20230321150000
2023-03-21 23:00:00,3669.0,3709.0,3641.0,3679.0,74466,90604,20230321230000
2023-03-22 11:15:00,3697.0,3697.0,3648.0,3664.0,34502,86507,20230322111500
2023-03-22 15:00:00,3665.0,3689.0,3663.0,3683.0,22999,85760,20230322150000
2023-03-22 23:00:00,3701.0,3729.0,3687.0,3715.0,58324,86432,20230322230000
