trade_date,open,high,low,close,vol,hold,datetime
2023-11-16 11:15:00,7474.0,7474.0,7474.0,7474.0,1,1,20231116111500
2023-11-20 23:00:00,7442.0,7442.0,7442.0,7442.0,1,2,20231120230000
2023-11-24 23:00:00,7286.0,7286.0,7286.0,7286.0,1,2,20231124230000
2023-11-27 11:15:00,7286.0,7286.0,7286.0,7286.0,3,5,20231127111500
2023-11-27 15:00:00,7286.0,7292.0,7286.0,7292.0,4,8,20231127150000
2023-11-28 11:15:00,7298.0,7298.0,7298.0,7298.0,1,7,20231128111500
2023-11-29 11:15:00,7318.0,7318.0,7318.0,7318.0,1,7,20231129111500
2023-11-29 15:00:00,7274.0,7274.0,7274.0,7274.0,1,7,20231129150000
2023-11-30 11:15:00,7338.0,7338.0,7338.0,7338.0,1,6,20231130111500
2023-11-30 23:00:00,7390.0,7390.0,7326.0,7346.0,3,5,20231130230000
2023-12-01 15:00:00,7346.0,7346.0,7314.0,7316.0,2,7,20231201150000
2023-12-08 11:15:00,7248.0,7314.0,7248.0,7250.0,4,7,20231208111500
2023-12-08 23:00:00,7338.0,7338.0,7338.0,7338.0,1,7,20231208230000
2023-12-11 15:00:00,7338.0,7338.0,7320.0,7320.0,1,6,20231211150000
2023-12-13 11:15:00,7230.0,7244.0,7208.0,7208.0,7,14,20231213111500
2023-12-13 15:00:00,7208.0,7230.0,7200.0,7200.0,3,15,20231213150000
2023-12-14 11:15:00,7230.0,7230.0,7230.0,7230.0,2,13,20231214111500
2023-12-15 11:15:00,7248.0,7248.0,7248.0,7248.0,1,12,20231215111500
2023-12-18 11:15:00,7240.0,7240.0,7240.0,7240.0,1,13,20231218111500
2023-12-18 15:00:00,7240.0,7272.0,7240.0,7272.0,1,12,20231218150000
2023-12-19 23:00:00,7298.0,7298.0,7282.0,7282.0,2,10,20231219230000
2023-12-20 11:15:00,7282.0,7338.0,7282.0,7338.0,2,8,20231220111500
2023-12-20 15:00:00,7338.0,7358.0,7338.0,7358.0,4,6,20231220150000
2023-12-21 15:00:00,7372.0,7372.0,7370.0,7370.0,2,6,20231221150000
2023-12-22 23:00:00,7444.0,7444.0,7444.0,7444.0,1,6,20231222230000
2023-12-25 11:15:00,7420.0,7420.0,7420.0,7420.0,1,7,20231225111500
