trade_date,open,high,low,close,vol,hold,datetime
2023-09-15 23:00:00,9438.0,9444.0,9302.0,9366.0,72643,33753,20230915230000
2023-09-18 11:15:00,9362.0,9468.0,9318.0,9350.0,29301,33690,20230918111500
2023-09-18 15:00:00,9350.0,9390.0,9308.0,9346.0,15384,35656,20230918150000
2023-09-18 23:00:00,9370.0,9394.0,9292.0,9354.0,38991,37074,20230918230000
2023-09-19 11:15:00,9374.0,9436.0,9324.0,9388.0,40322,38816,20230919111500
2023-09-19 15:00:00,9388.0,9392.0,9314.0,9322.0,15444,38863,20230919150000
2023-09-19 23:00:00,9344.0,9562.0,9340.0,9454.0,127629,49073,20230919230000
2023-09-20 11:15:00,9430.0,9430.0,9256.0,9290.0,53041,48592,20230920111500
2023-09-20 15:00:00,9298.0,9334.0,9284.0,9310.0,17035,47627,20230920150000
2023-09-20 23:00:00,9344.0,9344.0,9240.0,9300.0,34898,46559,20230920230000
2023-09-21 11:15:00,9266.0,9266.0,9188.0,9196.0,31341,47273,20230921111500
2023-09-21 15:00:00,9194.0,9200.0,9132.0,9134.0,17456,45964,20230921150000
2023-09-21 23:00:00,9186.0,9274.0,9174.0,9184.0,46466,44398,20230921230000
2023-09-22 11:15:00,9186.0,9248.0,9164.0,9212.0,17064,43499,20230922111500
2023-09-22 15:00:00,9212.0,9280.0,9196.0,9218.0,15782,42487,20230922150000
2023-09-22 23:00:00,9250.0,9300.0,9150.0,9150.0,36821,44454,20230922230000
2023-09-25 11:15:00,9150.0,9178.0,9068.0,9116.0,33755,44134,20230925111500
2023-09-25 15:00:00,9116.0,9142.0,9100.0,9130.0,12038,42236,20230925150000
2023-09-25 23:00:00,9110.0,9130.0,9036.0,9040.0,29294,46386,20230925230000
2023-09-26 11:15:00,9052.0,9092.0,8976.0,8986.0,26148,47803,20230926111500
2023-09-26 15:00:00,8984.0,9000.0,8892.0,8930.0,20826,46773,20230926150000
2023-09-26 23:00:00,8976.0,8998.0,8916.0,8948.0,21995,45118,20230926230000
2023-09-27 11:15:00,8962.0,9040.0,8962.0,8984.0,18680,42607,20230927111500
2023-09-27 15:00:00,8984.0,9006.0,8976.0,8980.0,7010,41127,20230927150000
2023-09-27 23:00:00,9008.0,9022.0,8970.0,9004.0,14836,40297,20230927230000
2023-09-28 11:15:00,9058.0,9166.0,9058.0,9080.0,29084,37551,20230928111500
2023-09-28 15:00:00,9082.0,9096.0,8996.0,9006.0,10771,33209,20230928150000
2023-10-09 11:15:00,8754.0,8824.0,8640.0,8654.0,32143,40089,20231009111500
2023-10-09 15:00:00,8654.0,8682.0,8586.0,8620.0,10761,43936,20231009150000
2023-10-09 23:00:00,8640.0,8650.0,8568.0,8578.0,19622,45752,20231009230000
2023-10-10 11:15:00,8574.0,8628.0,8502.0,8514.0,17088,46420,20231010111500
2023-10-10 15:00:00,8512.0,8552.0,8488.0,8500.0,11744,47778,20231010150000
2023-10-10 23:00:00,8510.0,8522.0,8406.0,8446.0,40275,53039,20231010230000
2023-10-11 11:15:00,8472.0,8518.0,8428.0,8428.0,19839,53220,20231011111500
2023-10-11 15:00:00,8428.0,8460.0,8420.0,8454.0,11916,53857,20231011150000
2023-10-11 23:00:00,8448.0,8456.0,8358.0,8368.0,28092,57115,20231011230000
2023-10-12 11:15:00,8370.0,8396.0,8292.0,8314.0,27400,61178,20231012111500
2023-10-12 15:00:00,8312.0,8394.0,8304.0,8390.0,20555,60530,20231012150000
2023-10-12 23:00:00,8420.0,8484.0,8342.0,8360.0,52943,62989,20231012230000
2023-10-13 11:15:00,8342.0,8440.0,8330.0,8386.0,24399,63027,20231013111500
2023-10-13 15:00:00,8388.0,8428.0,8364.0,8404.0,12545,62214,20231013150000
2023-10-13 23:00:00,8502.0,8512.0,8402.0,8404.0,37884,63872,20231013230000
2023-10-16 11:15:00,8440.0,8516.0,8420.0,8480.0,31758,64460,20231016111500
2023-10-16 15:00:00,8478.0,8486.0,8434.0,8444.0,14831,63872,20231016150000
2023-10-16 23:00:00,8458.0,8504.0,8330.0,8330.0,46517,65260,20231016230000
2023-10-17 11:15:00,8330.0,8416.0,8316.0,8396.0,20944,65286,20231017111500
