trade_date,open,high,low,close,vol,hold,datetime
2024-01-18 15:00:00,6125.0,6125.0,6045.0,6045.0,2,0,20240118150000
2024-01-19 11:15:00,6126.0,6127.0,6035.0,6072.0,14,0,20240119111500
2024-03-21 11:15:00,6040.0,6040.0,6032.0,6032.0,2,2,20240321111500
2024-04-08 11:15:00,5605.0,5605.0,5594.0,5594.0,2,3,20240408111500
2024-04-19 11:15:00,5578.0,5578.0,5578.0,5578.0,2,4,20240419111500
2024-04-23 11:15:00,5520.0,5620.0,5520.0,5620.0,2,4,20240423111500
2024-04-23 15:00:00,5620.0,5639.0,5534.0,5534.0,5,4,20240423150000
2024-05-06 11:15:00,5695.0,5836.0,5695.0,5742.0,7,4,20240506111500
2024-05-08 11:15:00,5720.0,5720.0,5720.0,5720.0,3,4,20240508111500
2024-05-08 15:00:00,5720.0,5720.0,5720.0,5720.0,1,4,20240508150000
2024-05-10 11:15:00,5830.0,5830.0,5718.0,5718.0,2,4,20240510111500
2024-05-13 11:15:00,5759.0,5759.0,5759.0,5759.0,1,4,20240513111500
2024-05-13 15:00:00,5678.0,5743.0,5678.0,5731.0,4,6,20240513150000
2024-05-15 11:15:00,5833.0,5833.0,5833.0,5833.0,1,7,20240515111500
2024-05-16 11:15:00,5769.0,5788.0,5769.0,5788.0,2,7,20240516111500
2024-05-16 15:00:00,5770.0,5826.0,5770.0,5774.0,5,5,20240516150000
2024-05-22 11:15:00,5761.0,5762.0,5761.0,5762.0,2,3,20240522111500
2024-06-05 11:15:00,5513.0,5513.0,5500.0,5500.0,2,5,20240605111500
2024-06-07 11:15:00,5555.0,5594.0,5489.0,5529.0,8,8,20240607111500
2024-07-10 11:15:00,5015.0,5015.0,5015.0,5015.0,1,7,20240710111500
2024-07-30 11:15:00,4990.0,4990.0,4979.0,4979.0,6,5,20240730111500
2024-07-30 15:00:00,4978.0,4978.0,4977.0,4977.0,2,3,20240730150000
2024-07-31 15:00:00,5166.0,5166.0,5166.0,5166.0,2,3,20240731150000
2024-08-02 11:15:00,5100.0,5100.0,5100.0,5100.0,2,3,20240802111500
2024-08-02 15:00:00,5000.0,5000.0,4999.0,4999.0,3,0,20240802150000
