trade_date,open,high,low,close,vol,hold,datetime
2024-06-18 11:15:00,7124.0,7124.0,7124.0,7124.0,1,1,20240618111500
2024-06-19 11:15:00,7126.0,7152.0,7118.0,7138.0,12,12,20240619111500
2024-06-19 15:00:00,7138.0,7400.0,7138.0,7268.0,6,16,20240619150000
2024-06-20 11:15:00,7230.0,7244.0,7230.0,7244.0,12,19,20240620111500
2024-06-20 15:00:00,7244.0,7246.0,7240.0,7240.0,6,21,20240620150000
2024-06-21 15:00:00,7118.0,7128.0,7092.0,7128.0,11,14,20240621150000
2024-06-24 11:15:00,7054.0,7054.0,7054.0,7054.0,1,13,20240624111500
2024-06-26 11:15:00,6920.0,6950.0,6920.0,6950.0,4,17,20240626111500
2024-06-27 15:00:00,6960.0,6960.0,6958.0,6958.0,6,20,20240627150000
2024-06-28 11:15:00,7010.0,7010.0,7010.0,7010.0,1,21,20240628111500
2024-06-28 15:00:00,7010.0,7010.0,6990.0,7000.0,7,28,20240628150000
2024-07-01 11:15:00,7000.0,7020.0,7000.0,7020.0,2,30,20240701111500
2024-07-01 15:00:00,7020.0,7050.0,7020.0,7050.0,1,31,20240701150000
2024-07-02 11:15:00,7052.0,7070.0,7040.0,7040.0,3,32,20240702111500
2024-07-02 15:00:00,7040.0,7088.0,7040.0,7066.0,5,34,20240702150000
2024-07-03 11:15:00,7068.0,7100.0,7068.0,7088.0,6,39,20240703111500
2024-07-03 15:00:00,7118.0,7118.0,7118.0,7118.0,1,40,20240703150000
2024-07-04 11:15:00,7142.0,7190.0,7132.0,7136.0,13,51,20240704111500
2024-07-04 15:00:00,7136.0,7136.0,7070.0,7110.0,8,57,20240704150000
2024-07-05 11:15:00,7030.0,7040.0,6976.0,6976.0,17,56,20240705111500
2024-07-05 15:00:00,6976.0,7000.0,6958.0,6982.0,20,51,20240705150000
2024-07-08 11:15:00,7006.0,7034.0,6950.0,6952.0,7,51,20240708111500
2024-07-08 15:00:00,6952.0,6952.0,6882.0,6892.0,13,45,20240708150000
2024-07-09 11:15:00,6886.0,6886.0,6810.0,6826.0,12,55,20240709111500
2024-07-09 15:00:00,6826.0,6864.0,6822.0,6864.0,12,63,20240709150000
2024-07-10 11:15:00,6848.0,6852.0,6790.0,6790.0,9,69,20240710111500
2024-07-10 15:00:00,6790.0,6790.0,6742.0,6782.0,11,77,20240710150000
2024-07-11 11:15:00,6800.0,6800.0,6800.0,6800.0,12,83,20240711111500
2024-07-11 15:00:00,6800.0,6830.0,6800.0,6830.0,3,82,20240711150000
2024-07-12 11:15:00,6858.0,6858.0,6842.0,6842.0,6,82,20240712111500
2024-07-12 15:00:00,6842.0,6842.0,6788.0,6788.0,4,84,20240712150000
2024-07-15 11:15:00,6842.0,6888.0,6842.0,6874.0,14,84,20240715111500
2024-07-15 15:00:00,6874.0,6874.0,6808.0,6808.0,3,87,20240715150000
2024-07-16 11:15:00,6788.0,6800.0,6760.0,6796.0,52,89,20240716111500
2024-07-16 15:00:00,6796.0,6808.0,6784.0,6786.0,12,89,20240716150000
2024-07-17 11:15:00,6830.0,6830.0,6788.0,6788.0,4,89,20240717111500
2024-07-17 15:00:00,6758.0,6758.0,6746.0,6746.0,2,90,20240717150000
2024-07-18 11:15:00,6754.0,6760.0,6744.0,6760.0,9,85,20240718111500
2024-07-18 15:00:00,6760.0,6800.0,6760.0,6800.0,1,86,20240718150000
2024-07-19 11:15:00,6762.0,6762.0,6738.0,6750.0,4,86,20240719111500
2024-07-19 15:00:00,6750.0,6776.0,6746.0,6746.0,2,86,20240719150000
2024-07-22 11:15:00,6854.0,6854.0,6784.0,6784.0,6,86,20240722111500
2024-07-22 15:00:00,6818.0,6830.0,6776.0,6776.0,14,88,20240722150000
2024-07-23 11:15:00,6806.0,6838.0,6782.0,6800.0,10,89,20240723111500
2024-07-23 15:00:00,6800.0,6800.0,6762.0,6762.0,3,91,20240723150000
2024-07-24 11:15:00,6796.0,6800.0,6784.0,6784.0,7,95,20240724111500
2024-07-24 15:00:00,6784.0,6808.0,6784.0,6808.0,3,92,20240724150000
2024-07-25 11:15:00,6724.0,6728.0,6708.0,6728.0,14,84,20240725111500
2024-07-25 15:00:00,6756.0,6818.0,6756.0,6802.0,4,84,20240725150000
2024-07-26 11:15:00,6850.0,6886.0,6836.0,6850.0,36,85,20240726111500
2024-07-26 15:00:00,6814.0,6820.0,6814.0,6820.0,11,76,20240726150000
2024-07-29 11:15:00,6786.0,6806.0,6786.0,6806.0,5,77,20240729111500
2024-07-29 15:00:00,6806.0,6832.0,6804.0,6804.0,5,75,20240729150000
2024-07-30 11:15:00,6766.0,6766.0,6716.0,6716.0,14,86,20240730111500
2024-07-30 15:00:00,6716.0,6716.0,6652.0,6664.0,20,91,20240730150000
2024-07-31 11:15:00,6686.0,6740.0,6686.0,6740.0,14,94,20240731111500
2024-07-31 15:00:00,6740.0,6740.0,6710.0,6712.0,2,96,20240731150000
2024-08-01 11:15:00,6772.0,6824.0,6708.0,6708.0,6,95,20240801111500
