trade_date,open,high,low,close,vol,hold,datetime
2024-06-17 11:30:00,104.57,104.615,104.535,104.535,110,76,20240617113000
2024-06-17 15:00:00,104.555,104.56,104.495,104.55,146,134,20240617150000
2024-06-17 15:15:00,104.55,104.57,104.55,104.565,15,142,20240617151500
2024-06-18 11:30:00,104.585,104.61,104.565,104.61,138,213,20240618113000
2024-06-18 15:00:00,104.615,104.65,104.605,104.63,144,284,20240618150000
2024-06-18 15:15:00,104.63,104.63,104.62,104.62,5,284,20240618151500
2024-06-19 11:30:00,104.64,104.64,104.58,104.625,101,326,20240619113000
2024-06-19 15:00:00,104.615,104.675,104.615,104.655,69,375,20240619150000
2024-06-19 15:15:00,104.655,104.705,104.655,104.705,17,385,20240619151500
2024-06-20 11:30:00,104.695,104.785,104.69,104.785,364,419,20240620113000
2024-06-20 15:00:00,104.785,104.81,104.76,104.785,212,444,20240620150000
2024-06-21 11:30:00,104.785,104.785,104.635,104.655,211,493,20240621113000
2024-06-21 15:00:00,104.655,104.66,104.59,104.66,127,563,20240621150000
2024-06-21 15:15:00,104.66,104.66,104.645,104.645,15,553,20240621151500
2024-06-24 11:30:00,104.69,104.695,104.64,104.69,36,552,20240624113000
2024-06-24 15:00:00,104.69,104.765,104.675,104.765,46,562,20240624150000
2024-06-24 15:15:00,104.765,104.785,104.765,104.785,9,562,20240624151500
2024-06-25 11:30:00,104.87,104.925,104.83,104.89,187,599,20240625113000
2024-06-25 15:00:00,104.89,104.89,104.86,104.86,46,600,20240625150000
2024-06-25 15:15:00,104.86,104.875,104.855,104.875,13,602,20240625151500
2024-06-26 11:30:00,104.885,104.93,104.855,104.93,239,715,20240626113000
2024-06-26 15:00:00,104.91,104.935,104.88,104.925,55,724,20240626150000
2024-06-26 15:15:00,104.905,104.905,104.885,104.885,62,757,20240626151500
2024-06-27 11:30:00,104.89,105.045,104.89,105.0,205,805,20240627113000
2024-06-27 15:00:00,105.03,105.05,105.0,105.04,106,809,20240627150000
2024-06-27 15:15:00,105.04,105.04,105.02,105.02,10,809,20240627151500
2024-06-28 11:30:00,105.005,105.055,104.985,105.045,38,821,20240628113000
2024-06-28 15:00:00,105.045,105.145,105.035,105.14,85,838,20240628150000
2024-06-28 15:15:00,105.14,105.145,105.06,105.06,39,854,20240628151500
2024-07-01 11:30:00,105.125,105.22,105.125,105.22,91,874,20240701113000
2024-07-01 15:00:00,105.22,105.22,104.73,104.78,401,894,20240701150000
2024-07-01 15:15:00,104.78,104.78,104.75,104.76,20,895,20240701151500
2024-07-02 11:30:00,104.875,104.95,104.78,104.95,184,890,20240702113000
2024-07-02 15:00:00,104.93,104.96,104.92,104.96,142,939,20240702150000
2024-07-02 15:15:00,104.955,104.975,104.955,104.975,15,941,20240702151500
2024-07-03 11:30:00,104.945,105.025,104.935,105.01,129,959,20240703113000
2024-07-03 15:00:00,105.01,105.08,105.0,105.08,97,970,20240703150000
2024-07-03 15:15:00,105.08,105.105,105.08,105.1,34,964,20240703151500
2024-07-04 11:30:00,105.025,105.1,105.025,105.07,44,970,20240704113000
2024-07-04 15:00:00,105.055,105.06,105.02,105.035,105,1000,20240704150000
2024-07-04 15:15:00,105.035,105.035,104.99,104.99,18,1000,20240704151500
