trade_date,open,high,low,close,vol,hold,datetime
2023-03-09 11:30:00,100.775,100.85,100.75,100.835,25164,99760,20230309113000
2023-03-09 15:00:00,100.84,100.865,100.815,100.84,20846,99149,20230309150000
2023-03-09 15:15:00,100.84,100.845,100.83,100.83,1931,99422,20230309151500
2023-03-10 11:30:00,100.875,100.905,100.84,100.865,23555,99347,20230310113000
2023-03-10 15:00:00,100.865,100.875,100.82,100.865,18738,99029,20230310150000
2023-03-10 15:15:00,100.865,100.87,100.855,100.86,1484,98652,20230310151500
2023-03-13 11:30:00,100.86,100.87,100.745,100.815,24763,98177,20230313113000
2023-03-13 15:00:00,100.815,100.85,100.79,100.825,20988,97998,20230313150000
2023-03-13 15:15:00,100.825,100.835,100.815,100.83,1656,97836,20230313151500
2023-03-14 11:30:00,100.88,100.925,100.855,100.89,25520,99434,20230314113000
2023-03-14 15:00:00,100.89,100.92,100.83,100.905,22728,99706,20230314150000
2023-03-14 15:15:00,100.905,100.915,100.895,100.905,1491,99807,20230314151500
2023-03-15 11:30:00,100.87,100.87,100.78,100.795,26545,99516,20230315113000
2023-03-15 15:00:00,100.795,100.86,100.785,100.835,19856,98679,20230315150000
2023-03-15 15:15:00,100.835,100.84,100.83,100.83,904,98701,20230315151500
2023-03-16 11:30:00,100.875,100.935,100.875,100.935,24032,100326,20230316113000
2023-03-16 15:00:00,100.935,101.015,100.91,101.005,26269,101871,20230316150000
2023-03-16 15:15:00,101.0,101.005,100.98,100.985,2765,101731,20230316151500
2023-03-17 11:30:00,100.94,100.995,100.915,100.965,27944,102821,20230317113000
2023-03-17 15:00:00,100.965,101.03,100.965,101.005,21211,103895,20230317150000
2023-03-17 15:15:00,101.005,101.02,100.975,100.985,1818,103952,20230317151500
2023-03-20 11:30:00,101.11,101.14,101.015,101.025,34647,103265,20230320113000
2023-03-20 15:00:00,101.03,101.105,101.015,101.08,28201,102894,20230320150000
2023-03-20 15:15:00,101.075,101.085,101.075,101.075,1707,102903,20230320151500
2023-03-21 11:30:00,101.075,101.095,101.045,101.075,19825,103804,20230321113000
2023-03-21 15:00:00,101.075,101.08,100.98,101.015,39159,104255,20230321150000
2023-03-21 15:15:00,101.005,101.025,101.0,101.025,2721,104345,20230321151500
2023-03-22 11:30:00,101.0,101.03,100.97,100.99,32720,105686,20230322113000
2023-03-22 15:00:00,100.99,101.045,100.985,101.04,22078,106600,20230322150000
2023-03-22 15:15:00,101.04,101.045,101.025,101.025,1648,106390,20230322151500
2023-03-23 11:30:00,101.05,101.065,101.03,101.06,22493,106989,20230323113000
2023-03-23 15:00:00,101.065,101.075,100.99,101.0,23900,106878,20230323150000
2023-03-23 15:15:00,101.005,101.02,101.0,101.005,1786,106524,20230323151500
2023-03-24 11:30:00,101.02,101.025,100.955,100.955,24412,107217,20230324113000
2023-03-24 15:00:00,100.955,100.98,100.89,100.91,30247,107901,20230324150000
2023-03-24 15:15:00,100.91,100.92,100.905,100.91,3905,108147,20230324151500
2023-03-27 11:30:00,100.97,101.06,100.96,101.06,28133,107889,20230327113000
2023-03-27 15:00:00,101.06,101.075,101.015,101.045,18363,107058,20230327150000
2023-03-27 15:15:00,101.045,101.055,101.04,101.055,2970,106264,20230327151500
2023-03-28 11:30:00,101.04,101.065,101.015,101.015,15559,106642,20230328113000
2023-03-28 15:00:00,101.015,101.05,100.995,101.035,19016,107444,20230328150000
2023-03-28 15:15:00,101.035,101.035,101.015,101.03,1590,107651,20230328151500
2023-03-29 11:30:00,101.045,101.045,100.975,100.995,17381,108305,20230329113000
2023-03-29 15:00:00,100.995,101.03,100.98,101.025,19141,109656,20230329150000
2023-03-29 15:15:00,101.025,101.045,101.025,101.03,3170,110135,20230329151500
2023-03-30 11:30:00,101.055,101.11,101.035,101.05,27662,110918,20230330113000
