trade_date,open,high,low,close,vol,hold,datetime
2023-12-14 23:00:00,7558.0,7558.0,7456.0,7502.0,1381,781,20231214230000
2023-12-15 11:15:00,7502.0,7530.0,7490.0,7502.0,1835,2509,20231215111500
2023-12-15 15:00:00,7502.0,7504.0,7456.0,7464.0,211,2773,20231215150000
2023-12-15 23:00:00,7470.0,7472.0,7420.0,7426.0,555,3099,20231215230000
2023-12-18 11:15:00,7444.0,7492.0,7420.0,7430.0,106,3187,20231218111500
2023-12-18 15:00:00,7430.0,7516.0,7430.0,7516.0,633,3577,20231218150000
2023-12-18 23:00:00,7504.0,7528.0,7500.0,7512.0,1533,4475,20231218230000
2023-12-19 11:15:00,7512.0,7512.0,7464.0,7478.0,1031,5014,20231219111500
2023-12-19 15:00:00,7478.0,7504.0,7470.0,7484.0,984,5445,20231219150000
2023-12-19 23:00:00,7488.0,7510.0,7484.0,7496.0,734,5662,20231219230000
2023-12-20 11:15:00,7496.0,7516.0,7474.0,7498.0,1480,6005,20231220111500
2023-12-20 15:00:00,7498.0,7498.0,7470.0,7470.0,262,6088,20231220150000
2023-12-20 23:00:00,7482.0,7534.0,7480.0,7534.0,531,6184,20231220230000
2023-12-21 11:15:00,7534.0,7534.0,7438.0,7450.0,1274,6616,20231221111500
2023-12-21 15:00:00,7450.0,7494.0,7446.0,7494.0,566,6660,20231221150000
2023-12-21 23:00:00,7468.0,7474.0,7406.0,7406.0,453,6739,20231221230000
2023-12-22 11:15:00,7400.0,7428.0,7360.0,7428.0,151,6780,20231222111500
2023-12-22 15:00:00,7428.0,7466.0,7428.0,7456.0,194,6730,20231222150000
2023-12-22 23:00:00,7474.0,7474.0,7436.0,7438.0,81,6711,20231222230000
2023-12-25 11:15:00,7438.0,7438.0,7358.0,7424.0,271,6691,20231225111500
2023-12-25 15:00:00,7424.0,7438.0,7422.0,7428.0,32,6683,20231225150000
2023-12-25 23:00:00,7450.0,7450.0,7436.0,7444.0,32,6673,20231225230000
2023-12-26 11:15:00,7444.0,7480.0,7438.0,7466.0,126,6638,20231226111500
2023-12-26 15:00:00,7466.0,7468.0,7462.0,7462.0,33,6633,20231226150000
2023-12-26 23:00:00,7464.0,7504.0,7464.0,7486.0,100,6625,20231226230000
2023-12-27 11:15:00,7486.0,7508.0,7472.0,7492.0,275,6642,20231227111500
2023-12-27 15:00:00,7492.0,7502.0,7490.0,7494.0,72,6660,20231227150000
2023-12-27 23:00:00,7470.0,7478.0,7444.0,7460.0,86,6674,20231227230000
2023-12-28 11:15:00,7460.0,7482.0,7440.0,7460.0,353,6628,20231228111500
2023-12-28 15:00:00,7460.0,7474.0,7448.0,7448.0,124,6616,20231228150000
2023-12-28 23:00:00,7464.0,7464.0,7428.0,7464.0,680,6271,20231228230000
2023-12-29 11:15:00,7440.0,7442.0,7384.0,7402.0,1725,6334,20231229111500
2023-12-29 15:00:00,7402.0,7420.0,7390.0,7406.0,472,6358,20231229150000
2024-01-02 11:15:00,7416.0,7438.0,7350.0,7396.0,56,6033,20240102111500
2024-01-02 15:00:00,7400.0,7410.0,7370.0,7384.0,54,6031,20240102150000
2024-01-02 23:00:00,7406.0,7406.0,7318.0,7318.0,29,6051,20240102230000
2024-01-03 11:15:00,7336.0,7348.0,7286.0,7286.0,99,6088,20240103111500
2024-01-03 15:00:00,7286.0,7312.0,7286.0,7312.0,292,5812,20240103150000
2024-01-03 23:00:00,7366.0,7366.0,7292.0,7292.0,1672,4187,20240103230000
2024-01-04 11:15:00,7298.0,7344.0,7298.0,7304.0,45,2712,20240104111500
2024-01-04 15:00:00,7304.0,7324.0,7300.0,7324.0,41,2695,20240104150000
2024-01-04 23:00:00,7328.0,7328.0,7304.0,7314.0,959,1765,20240104230000
2024-01-05 11:15:00,7314.0,7322.0,7266.0,7312.0,581,1218,20240105111500
2024-01-05 15:00:00,7306.0,7320.0,7300.0,7310.0,47,1214,20240105150000
2024-01-05 23:00:00,7302.0,7322.0,7286.0,7310.0,14,1216,20240105230000
2024-01-08 11:15:00,7296.0,7334.0,7262.0,7308.0,36,1217,20240108111500
2024-01-08 15:00:00,7308.0,7330.0,7278.0,7278.0,29,1225,20240108150000
2024-01-08 23:00:00,7248.0,7272.0,7202.0,7202.0,34,1224,20240108230000
2024-01-09 11:15:00,7238.0,7328.0,7238.0,7324.0,20,1220,20240109111500
2024-01-09 15:00:00,7334.0,7340.0,7310.0,7324.0,33,1218,20240109150000
2024-01-09 23:00:00,7340.0,7360.0,7320.0,7328.0,28,1211,20240109230000
2024-01-10 11:15:00,7368.0,7372.0,7352.0,7366.0,39,1217,20240110111500
2024-01-10 15:00:00,7372.0,7420.0,7372.0,7394.0,52,1192,20240110150000
