trade_date,open,high,low,close,vol,hold,datetime
2024-07-17 23:00:00,23515.0,23515.0,23515.0,23515.0,1,1,20240717230000
2024-07-18 01:00:00,23515.0,23515.0,23400.0,23435.0,3,3,20240718010000
2024-07-18 11:15:00,23435.0,23455.0,23395.0,23455.0,3,4,20240718111500
2024-07-18 15:00:00,23455.0,23505.0,23390.0,23505.0,6,4,20240718150000
2024-07-18 23:00:00,23335.0,23335.0,23280.0,23320.0,6,4,20240718230000
2024-07-19 11:15:00,23320.0,23320.0,23085.0,23085.0,2,5,20240719111500
2024-07-19 23:00:00,23125.0,23180.0,23110.0,23180.0,5,8,20240719230000
2024-07-22 11:15:00,23180.0,23200.0,23135.0,23200.0,3,10,20240722111500
2024-07-22 15:00:00,23200.0,23230.0,23080.0,23085.0,17,17,20240722150000
2024-07-22 23:00:00,22505.0,22875.0,22505.0,22830.0,12,22,20240722230000
2024-07-23 01:00:00,22830.0,22830.0,22780.0,22785.0,3,22,20240723010000
2024-07-23 11:15:00,22785.0,22935.0,22785.0,22935.0,1,21,20240723111500
2024-07-23 15:00:00,22935.0,22935.0,22630.0,22630.0,4,22,20240723150000
2024-07-23 23:00:00,22595.0,22595.0,22345.0,22400.0,11,23,20240723230000
2024-07-24 01:00:00,22400.0,22495.0,22400.0,22495.0,1,23,20240724010000
2024-07-24 15:00:00,22495.0,22495.0,22305.0,22350.0,2,24,20240724150000
2024-07-24 23:00:00,22405.0,22405.0,22375.0,22375.0,2,25,20240724230000
2024-07-25 11:15:00,22375.0,22375.0,21975.0,21975.0,5,28,20240725111500
2024-07-25 15:00:00,21975.0,21975.0,21930.0,21930.0,1,28,20240725150000
2024-07-25 23:00:00,22100.0,22300.0,22100.0,22300.0,22,29,20240725230000
2024-07-26 01:00:00,22320.0,22320.0,22320.0,22320.0,1,30,20240726010000
2024-07-26 11:15:00,22320.0,22400.0,22310.0,22375.0,7,28,20240726111500
2024-07-26 15:00:00,22375.0,22375.0,22285.0,22285.0,9,33,20240726150000
2024-07-29 01:00:00,22285.0,22285.0,22285.0,22285.0,1,33,20240729010000
2024-07-29 11:15:00,22285.0,22440.0,22285.0,22300.0,3,34,20240729111500
2024-07-29 15:00:00,22300.0,22315.0,22300.0,22315.0,1,33,20240729150000
2024-07-29 23:00:00,22330.0,22330.0,22330.0,22330.0,2,33,20240729230000
2024-07-30 11:15:00,22330.0,22330.0,22160.0,22160.0,8,30,20240730111500
2024-07-30 23:00:00,22060.0,22060.0,22060.0,22060.0,1,31,20240730230000
2024-07-31 01:00:00,22060.0,22220.0,22060.0,22220.0,1,32,20240731010000
2024-07-31 11:15:00,22220.0,22400.0,22220.0,22400.0,4,32,20240731111500
2024-07-31 15:00:00,22410.0,22475.0,22410.0,22475.0,2,33,20240731150000
2024-07-31 23:00:00,22965.0,22965.0,22535.0,22605.0,28,39,20240731230000
2024-08-01 01:00:00,22605.0,22605.0,22525.0,22525.0,4,40,20240801010000
2024-08-01 11:15:00,22525.0,22765.0,22525.0,22580.0,18,37,20240801111500
2024-08-01 15:00:00,22580.0,22580.0,22535.0,22535.0,2,37,20240801150000
2024-08-01 23:00:00,22605.0,22605.0,22545.0,22545.0,4,38,20240801230000
2024-08-02 15:00:00,22545.0,22615.0,22495.0,22615.0,6,38,20240802150000
2024-08-02 23:00:00,22535.0,22535.0,22280.0,22315.0,8,36,20240802230000
2024-08-05 01:00:00,22315.0,22315.0,22275.0,22275.0,1,37,20240805010000
