select_date,ts_code,symbol,pct_chg,index_pct_chg,dir
20230328,SC2412,SC2412[上海原油2412],,,0
20230329,WR0,WR0[线材连续],,,0
20230329,SC2412,SC2412[上海原油2412],,,0
20230330,SC2412,SC2412[上海原油2412],,,0
20230331,SC2412,SC2412[上海原油2412],,,0
20230407,SC2506,SC2506[上海原油2506],,,0
20230410,SC2506,SC2506[上海原油2506],,,0
20230411,SC2506,SC2506[上海原油2506],,,0
20230412,SC2506,SC2506[上海原油2506],,,0
20230413,SC2506,SC2506[上海原油2506],,,0
20230414,SC2506,SC2506[上海原油2506],,,0
20230426,B0,B0[豆二连续],,,0
20230428,B0,B0[豆二连续],,,0
20230505,FU0,FU0[燃料油连续],,,0
20230508,LU0,LU0[低硫燃料油连续],,,0
20230508,FU0,FU0[燃料油连续],,,0
20230605,LU0,LU0[低硫燃料油连续],,,0
20230613,LU0,LU0[低硫燃料油连续],,,0
20230704,FG0,FG0[玻璃连续],,,0
20230710,WR0,WR0[线材连续],,,0
20230711,WR0,WR0[线材连续],,,0
20230712,WR0,WR0[线材连续],,,0
20230713,WR0,WR0[线材连续],,,0
20230714,WR0,WR0[线材连续],,,0
20230717,WR0,WR0[线材连续],,,0
20230718,WR0,WR0[线材连续],,,0
20230719,WR0,WR0[线材连续],,,0
20230726,WR0,WR0[线材连续],,,0
20230804,RM0,RM0[菜粕连续],,,0
20230811,SA0,SA0[纯碱连续],,,0
20230811,UR0,UR0[尿素连续],,,0
20230814,UR0,UR0[尿素连续],,,0
20230815,SA0,SA0[纯碱连续],,,0
20230817,SA0,SA0[纯碱连续],,,0
20230817,UR0,UR0[尿素连续],,,0
20230818,M0,M0[豆粕连续],,,0
20230818,UR0,UR0[尿素连续],,,0
20230821,M0,M0[豆粕连续],,,0
20230821,UR0,UR0[尿素连续],,,0
20230821,FG0,FG0[玻璃连续],,,0
20230822,UR0,UR0[尿素连续],,,0
20230822,FG0,FG0[玻璃连续],,,0
20230823,UR0,UR0[尿素连续],,,0
20230823,FG0,FG0[玻璃连续],,,0
20230824,UR0,UR0[尿素连续],,,0
20230824,FG0,FG0[玻璃连续],,,0
20230825,UR0,UR0[尿素连续],,,0
20230828,UR0,UR0[尿素连续],,,0
20230829,WR0,WR0[线材连续],,,0
20230829,JD0,JD0[鸡蛋连续],,,0
20230905,FU0,FU0[燃料油连续],,,0
20230918,SA0,SA0[纯碱连续],,,0
20230919,SA0,SA0[纯碱连续],,,0
20230921,SA2408,SA2408[纯碱2408],,,0
20230928,PG0,PG0[液化石油气连续],,,0
20231012,BR0,BR0[丁二烯橡胶连续],,,0
20231012,WR0,WR0[线材连续],,,0
20231013,LU0,LU0[低硫燃料油连续],,,0
20231013,WR0,WR0[线材连续],,,0
