trade_date,股票代码,open,close,high,low,vol,amount,振幅,ratio,change,turn_over
2015-04-01,000002,5.85,5.84,5.98,5.59,3758035,5137432576.0,6.57,-1.68,-0.1,3.87
2015-04-02,000002,5.88,5.71,6.04,5.55,3199246,4366632704.0,8.39,-2.23,-0.13,3.29
2015-04-03,000002,5.53,5.57,5.6,5.31,3565632,4752984832.0,5.08,-2.45,-0.14,3.67
2015-04-07,000002,5.6,5.84,5.85,5.49,3753195,5085149440.0,6.46,4.85,0.27,3.86
2015-04-08,000002,5.84,5.94,6.04,5.53,4489815,6141003008.0,8.73,1.71,0.1,4.62
2015-04-09,000002,5.95,6.76,6.94,5.63,7171547,10099960064.0,22.05,13.8,0.82,7.38
2015-04-10,000002,6.4,6.44,6.59,6.19,4248942,6067355136.0,5.92,-4.73,-0.32,4.37
2015-04-13,000002,6.54,6.49,6.74,6.34,4074305,5872259584.0,6.21,0.78,0.05,4.19
2015-04-14,000002,6.45,6.24,6.58,6.12,3276760,4665719552.0,7.09,-3.85,-0.25,3.37
2015-04-15,000002,6.22,6.02,6.3,5.93,2784023,3903055568.0,5.93,-3.53,-0.22,2.87
2015-04-16,000002,5.96,6.42,6.42,5.89,3346233,4722539776.0,8.8,6.64,0.4,3.44
2015-04-17,000002,6.64,6.79,7.04,6.43,5846093,8532838400.0,9.5,5.76,0.37,6.02
2015-04-20,000002,6.9,6.33,7.22,6.31,5933165,8718400512.0,13.4,-6.77,-0.46,6.11
2015-04-21,000002,6.28,6.6,6.67,6.14,3743243,5334591232.0,8.37,4.27,0.27,3.85
2015-04-22,000002,6.62,7.0,7.04,6.53,4468763,6569893120.0,7.73,6.06,0.4,4.6
2015-04-23,000002,7.27,6.88,7.37,6.77,4717331,7047246080.0,8.57,-1.71,-0.12,4.86
2015-04-24,000002,6.6,6.54,6.82,6.27,3620662,5206488320.0,7.99,-4.94,-0.34,3.73
2015-04-27,000002,6.53,6.82,6.82,6.42,4225620,6143012608.0,6.12,4.28,0.28,4.35
2015-04-28,000002,6.77,6.31,6.78,6.23,3866039,5550368000.0,8.06,-7.48,-0.51,3.98
2015-04-29,000002,6.19,6.36,6.55,6.05,2773329,3925805248.0,7.92,0.79,0.05,2.85
2015-04-30,000002,6.45,6.72,7.05,6.33,5411486,7892159744.0,11.32,5.66,0.36,5.57
2015-05-04,000002,6.74,6.67,6.91,6.52,3091768,4513107968.0,5.8,-0.74,-0.05,3.18
