trade_date,股票代码,open,close,high,low,vol,amount,振幅,ratio,change,turn_over
2015-04-01,600105,4.05,4.12,4.12,4.03,141745,167891020.0,2.22,1.48,0.06,3.72
2015-04-02,600105,4.12,4.2,4.2,4.08,150771,180757317.0,2.91,1.94,0.08,3.96
2015-04-03,600105,4.17,4.2,4.24,4.13,133364,161556766.0,2.62,0.0,0.0,3.5
2015-04-07,600105,4.22,4.4,4.45,4.21,198431,249069199.0,5.71,4.76,0.2,5.21
2015-04-08,600105,4.41,4.26,4.45,4.21,155141,192418348.0,5.45,-3.18,-0.14,4.07
2015-04-09,600105,4.26,4.08,4.26,3.95,132695,157296124.0,7.28,-4.23,-0.18,3.48
2015-04-10,600105,4.06,4.18,4.21,4.04,85740,103445896.0,4.17,2.45,0.1,2.25
2015-04-13,600105,4.22,4.33,4.39,4.22,140454,174812318.0,4.07,3.59,0.15,3.69
2015-04-14,600105,4.32,4.5,4.56,4.27,202401,257333223.0,6.7,3.93,0.17,5.31
2015-04-15,600105,4.48,4.34,4.59,4.3,168406,215954789.0,6.44,-3.56,-0.16,4.42
2015-04-16,600105,4.3,4.62,4.63,4.18,204165,262337798.0,10.37,6.45,0.28,5.36
2015-04-17,600105,4.62,4.73,4.95,4.62,262657,359415120.0,7.14,2.38,0.11,6.89
2015-04-20,600105,4.68,4.69,4.95,4.55,278170,378124736.0,8.46,-0.85,-0.04,7.3
2015-04-21,600105,4.66,4.8,4.82,4.66,168218,227685541.0,3.41,2.35,0.11,4.42
2015-04-22,600105,4.85,4.83,5.02,4.8,171728,238735785.0,4.58,0.63,0.03,4.51
2015-04-23,600105,4.83,4.72,4.85,4.67,175932,238734715.0,3.73,-2.28,-0.11,4.62
2015-04-24,600105,4.62,4.67,4.71,4.55,137605,182792896.0,3.39,-1.06,-0.05,3.61
2015-04-27,600105,4.65,4.83,4.85,4.64,196124,268333630.0,4.5,3.43,0.16,5.15
2015-04-28,600105,4.83,5.33,5.36,4.79,440984,653811648.0,11.8,10.35,0.5,11.58
2015-04-29,600105,5.28,5.7,5.81,5.07,396302,604429536.0,13.88,6.94,0.37,10.4
2015-04-30,600105,5.68,5.72,6.07,5.5,363856,602018848.0,10.0,0.35,0.02,9.55
2015-05-04,600105,5.72,5.69,5.9,5.48,229071,367994672.0,7.34,-0.52,-0.03,6.01
2015-05-05,600105,5.75,5.95,6.05,5.68,265951,437039600.0,6.5,4.57,0.26,6.98
2015-05-06,600105,5.98,6.4,6.59,5.98,362605,646667600.0,10.25,7.56,0.45,9.52
2015-05-07,600105,6.43,5.8,6.6,5.74,267299,465775232.0,13.44,-9.38,-0.6,7.02
2015-05-08,600105,5.76,6.12,6.22,5.73,199818,331002320.0,8.45,5.52,0.32,5.25
2015-05-11,600105,6.1,6.42,6.56,6.07,214413,380271968.0,8.01,4.9,0.3,5.63
2015-05-12,600105,6.42,6.37,6.53,6.14,225284,396988128.0,6.07,-0.78,-0.05,5.91
2015-05-22,600105,7.05,7.05,7.05,7.05,7242,14165039.0,0.0,10.68,0.68,0.19
2015-05-25,600105,7.8,7.41,7.8,7.16,370405,764411920.0,9.08,5.11,0.36,9.72
2015-05-26,600105,7.52,7.93,8.07,7.05,300329,618092400.0,13.77,7.02,0.52,7.88
