select_date,ts_code,symbol,pct_chg,index_pct_chg
20240807,UVIX,UVIX[VIX恐慌指数2倍做多],-0.096,0
20240807,PILL,PILL[美国医药指数3倍做多],-0.02,0
20240807,UVIX,UVIX[VIX恐慌指数2倍做多],-0.096,0
20240807,PILL,PILL[美国医药指数3倍做多],-0.02,0
20240806,SOXS,SOXS[半导体指数3倍做空],-0.025,0
20240806,PILL,PILL[美国医药指数3倍做多],0.007,0
20240805,SOXS,SOXS[半导体指数3倍做空],0.047,0
20240805,PILL,PILL[美国医药指数3倍做多],-0.054,0
20240731,SQQQ,SQQQ[纳斯达克3倍做空],-0.089,0
20240731,SOXS,SOXS[半导体指数3倍做空],-0.202,0
20240731,UVIX,UVIX[VIX恐慌指数2倍做多],-0.054,0
20240730,UVIX,UVIX[VIX恐慌指数2倍做多],0.08,0
20240729,UVIX,UVIX[VIX恐慌指数2倍做多],-0.049,0
20240726,UVIX,UVIX[VIX恐慌指数2倍做多],-0.111,0
20240726,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],0.03,0
20240725,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],-0.011,0
20240724,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],-0.007,0
20240723,UVIX,UVIX[VIX恐慌指数2倍做多],-0.015,0
20240723,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],-0.014,0
20240722,SOXS,SOXS[半导体指数3倍做空],-0.126,0
20240722,UVIX,UVIX[VIX恐慌指数2倍做多],-0.1,0
20240722,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],0.034,0
20240719,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],-0.031,0
20240718,YINN,YINN[富时中国3倍做多],-0.025,0
20240718,BABX,BABX[GraniteShares 2x Long BABA Daily ETF],-0.016,0
20240717,YINN,YINN[富时中国3倍做多],-0.043,0
20240703,YANG,YANG[富时中国3倍做空],-0.047,0
20240528,TSLA,"TSLA[Tesla, Inc.]",-0.014,0
20240523,TSLA,"TSLA[Tesla, Inc.]",-0.035,0
20240520,TSLA,"TSLA[Tesla, Inc.]",-0.014,0
20240516,TSLA,"TSLA[Tesla, Inc.]",0.005,0
20240515,TSLA,"TSLA[Tesla, Inc.]",-0.02,0
20240514,SOXS,SOXS[半导体指数3倍做空],-0.05,0
20240514,TSLA,"TSLA[Tesla, Inc.]",0.033,0
20240513,SOXS,SOXS[半导体指数3倍做空],-0.005,0
20240513,TSLA,"TSLA[Tesla, Inc.]",0.02,0
20240510,TSLA,"TSLA[Tesla, Inc.]",-0.02,0
20240509,TSLA,"TSLA[Tesla, Inc.]",-0.016,0
20240508,TSLA,"TSLA[Tesla, Inc.]",-0.017,0
20240506,SOXS,SOXS[半导体指数3倍做空],-0.061,0
20240503,SOXS,SOXS[半导体指数3倍做空],-0.066,0
20240503,NVDQ,NVDQ[NVDA 2X SHORT],-0.07,0
20240502,SOXS,SOXS[半导体指数3倍做空],-0.066,0
20240502,NVDQ,NVDQ[NVDA 2X SHORT],-0.067,0
20240501,SOXS,SOXS[半导体指数3倍做空],0.101,0
20240430,SOXS,SOXS[半导体指数3倍做空],0.064,0
20240429,SQQQ,SQQQ[纳斯达克3倍做空],-0.011,0
20240429,SOXS,SOXS[半导体指数3倍做空],-0.02,0
20240429,WEBS,WEBS[美国互联网指数3倍做空],0.02,0
20240426,SQQQ,SQQQ[纳斯达克3倍做空],-0.048,0
20240426,WEBS,WEBS[美国互联网指数3倍做空],-0.081,0
20240425,SOXS,SOXS[半导体指数3倍做空],-0.055,0
20240424,SOXS,SOXS[半导体指数3倍做空],-0.038,0
20240424,UVIX,UVIX[VIX恐慌指数2倍做多],-0.022,0
20240424,NVDQ,NVDQ[NVDA 2X SHORT],0.071,0
20240423,SOXS,SOXS[半导体指数3倍做空],-0.064,0
20240423,UVIX,UVIX[VIX恐慌指数2倍做多],-0.071,0
20240423,NVDQ,NVDQ[NVDA 2X SHORT],-0.076,0
20240422,UVIX,UVIX[VIX恐慌指数2倍做多],-0.156,0
20240409,UVIX,UVIX[VIX恐慌指数2倍做多],-0.015,0
20240325,XPEV,"XPEV[XPeng, Inc.]",0.006,0
20240322,XPEV,"XPEV[XPeng, Inc.]",-0.078,0
20240321,XPEV,"XPEV[XPeng, Inc.]",-0.028,0
20240320,SQQQ,SQQQ[纳斯达克3倍做空],-0.035,0
20240318,UVIX,UVIX[VIX恐慌指数2倍做多],-0.05,0
20240315,BILI,"BILI[Bilibili, Inc.]",0.01,0
20240314,XPEV,"XPEV[XPeng, Inc.]",-0.061,0
20240314,BILI,"BILI[Bilibili, Inc.]",-0.068,0
